age,workclass,occupation,hours-per-week,income
35, Private, Sales,48, <=50K
39, Private, Sales,30, >50K
54, Private, Sales,38, <=50K
39, Private, Sales,40, <=50K
21, Private, Sales,40, <=50K
45, Private, Sales,55, <=50K
61, Self-emp-inc, Sales,50, <=50K
26, Private, Sales,40, <=50K
39, Private, Sales,55, <=50K
27, Private, Tech-support,40, <=50K
44, Private, Sales,55, >50K
40, Private, Sales,40, <=50K
24, Private, Tech-support,40, <=50K
41, Private, Sales,50, >50K
45, Private, Tech-support,40, <=50K
32, Private, Tech-support,40, >50K
19, Private, Sales,25, <=50K
41, Private, Sales,70, <=50K
50, Private, Sales,40, <=50K
24, Private, Sales,40, <=50K
29, Private, Tech-support,40, >50K
31, Private, Sales,45, <=50K
35, Private, Sales,50, >50K
42, Private, Sales,43, <=50K
32, Private, Sales,65, <=50K
33, Private, Sales,45, <=50K
44, Private, Tech-support,44, >50K
24, Private, Sales,40, <=50K
47, Self-emp-inc, Sales,80, <=50K
36, Private, Sales,45, <=50K
29, Private, Tech-support,60, <=50K
20, Private, Sales,20, <=50K
22, Private, Sales,30, <=50K
23, Private, Sales,25, <=50K
43, Private, Sales,55, <=50K
48, Private, Sales,40, >50K
28, Private, Sales,40, <=50K
41, Private, Sales,51, <=50K
67, Self-emp-inc, Sales,40, <=50K
20, Private, Sales,35, <=50K
18, Private, Sales,21, <=50K
39, Private, Sales,50, >50K
30, Private, Sales,48, <=50K
22, Private, Sales,40, <=50K
44, Private, Sales,60, <=50K
24, Private, Sales,30, <=50K
28, Private, Sales,40, <=50K
33, Private, Sales,55, >50K
50, Private, Sales,40, >50K
40, Private, Tech-support,40, >50K
48, Self-emp-inc, Sales,38, >50K
36, Private, Sales,20, <=50K
19, Private, Sales,15, <=50K
54, Private, Sales,41, <=50K
26, Private, Sales,40, <=50K
18, Private, Sales,35, <=50K
37, Private, Tech-support,40, >50K
56, Private, Sales,40, >50K
25, Private, Sales,43, <=50K
41, Private, Tech-support,45, >50K
50, Private, Sales,40, >50K
27, Private, Tech-support,50, <=50K
19, Private, Sales,40, <=50K
58, Private, Sales,40, <=50K
36, Private, Tech-support,40, <=50K
27, Private, Sales,40, <=50K
32, Private, Sales,60, <=50K
35, Private, Sales,50, <=50K
25, Private, Sales,50, <=50K
50, Private, Sales,40, <=50K
51, Private, Sales,40, >50K
23, Private, Sales,40, <=50K
34, Private, Sales,45, <=50K
32, Private, Sales,40, <=50K
54, Private, Sales,40, >50K
37, Private, Tech-support,40, <=50K
21, Private, Sales,20, <=50K
40, Private, Sales,40, >50K
38, Private, Sales,70, >50K
58, Private, Sales,40, <=50K
38, Private, Sales,60, <=50K
32, Private, Sales,40, >50K
27, Private, Sales,45, <=50K
26, Private, Sales,40, <=50K
46, Private, Sales,40, >50K
60, Private, Sales,40, >50K
23, Private, Sales,25, <=50K
27, Private, Sales,40, <=50K
35, Private, Sales,30, <=50K
41, Private, Sales,35, >50K
20, Private, Tech-support,40, <=50K
32, Self-emp-inc, Sales,45, <=50K
54, Self-emp-inc, Sales,70, >50K
61, Private, Sales,50, >50K
31, Private, Sales,40, <=50K
29, Private, Sales,40, <=50K
22, Private, Sales,20, <=50K
35, Private, Sales,50, <=50K
19, Private, Sales,20, <=50K
58, Private, Sales,50, <=50K
50, Private, Sales,60, >50K
47, Private, Sales,60, >50K
30, Private, Sales,40, >50K
20, Federal-gov, Tech-support,24, <=50K
31, Private, Sales,40, <=50K
20, Private, Sales,20, <=50K
57, Private, Sales,40, <=50K
55, Private, Tech-support,55, >50K
22, Private, Sales,40, <=50K
34, Private, Sales,60, >50K
43, Federal-gov, Tech-support,50, <=50K
30, Private, Sales,65, <=50K
44, Private, Sales,48, <=50K
34, Private, Sales,35, <=50K
47, Private, Sales,40, >50K
46, Private, Sales,65, >50K
50, Private, Sales,40, >50K
37, Private, Sales,40, >50K
21, Private, Sales,20, <=50K
23, Private, Sales,40, <=50K
65, Private, Sales,15, <=50K
36, Private, Sales,40, <=50K
38, Private, Sales,45, <=50K
44, Private, Sales,40, >50K
41, Private, Sales,12, >50K
23, Private, Sales,40, <=50K
36, Private, Sales,35, >50K
23, Private, Sales,55, <=50K
50, Private, Sales,60, >50K
56, Private, Sales,40, <=50K
28, Private, Sales,45, <=50K
25, Private, Sales,20, <=50K
66, Private, Sales,24, >50K
52, Private, Sales,45, >50K
31, Private, Tech-support,40, <=50K
38, Private, Sales,40, <=50K
49, Self-emp-inc, Sales,40, >50K
40, Private, Sales,60, <=50K
25, Private, Sales,65, <=50K
36, Private, Tech-support,40, <=50K
60, Private, Sales,48, <=50K
22, Private, Tech-support,40, <=50K
30, Private, Sales,40, <=50K
21, Private, Sales,43, <=50K
37, Private, Sales,50, >50K
66, Private, Sales,40, >50K
58, Private, Tech-support,40, >50K
54, Private, Tech-support,25, >50K
19, Private, Sales,40, <=50K
31, Private, Sales,45, >50K
47, Private, Sales,60, <=50K
27, Private, Tech-support,40, <=50K
36, Private, Sales,20, <=50K
53, Private, Tech-support,40, <=50K
64, Self-emp-inc, Sales,45, <=50K
23, Private, Sales,45, <=50K
38, Private, Sales,50, <=50K
19, Private, Sales,20, <=50K
49, Self-emp-inc, Sales,70, >50K
50, Private, Sales,50, <=50K
41, Private, Tech-support,42, >50K
27, Private, Tech-support,36, <=50K
34, Private, Tech-support,40, <=50K
21, Private, Sales,10, <=50K
24, Private, Sales,40, <=50K
24, Private, Sales,40, <=50K
52, Private, Sales,40, <=50K
59, Private, Sales,60, >50K
44, Private, Sales,40, >50K
35, Self-emp-inc, Sales,40, <=50K
56, Private, Sales,50, <=50K
59, Private, Sales,55, >50K
22, Private, Sales,20, <=50K
26, Private, Sales,20, <=50K
38, Private, Tech-support,45, >50K
33, Private, Tech-support,40, <=50K
36, Private, Tech-support,40, <=50K
44, Private, Sales,24, <=50K
23, Private, Tech-support,42, <=50K
23, Private, Sales,40, <=50K
27, Private, Sales,40, <=50K
39, Federal-gov, Tech-support,40, <=50K
23, Private, Sales,12, <=50K
21, Private, Tech-support,50, <=50K
54, Private, Tech-support,48, <=50K
20, Private, Sales,28, <=50K
38, Private, Tech-support,40, >50K
37, Self-emp-inc, Sales,44, >50K
38, Self-emp-inc, Sales,40, >50K
36, Private, Tech-support,20, <=50K
29, Private, Sales,60, <=50K
34, Private, Sales,40, <=50K
19, Private, Sales,20, <=50K
35, Private, Sales,50, <=50K
32, Private, Sales,44, <=50K
36, Self-emp-inc, Sales,45, >50K
26, Private, Tech-support,40, <=50K
48, Private, Tech-support,40, >50K
52, Private, Sales,40, >50K
25, Private, Sales,44, <=50K
20, Private, Sales,40, <=50K
35, Private, Sales,40, <=50K
47, Private, Tech-support,60, <=50K
62, Private, Sales,35, <=50K
31, Private, Tech-support,40, <=50K
62, Private, Sales,60, >50K
38, Private, Sales,50, >50K
19, Private, Tech-support,14, <=50K
62, Self-emp-inc, Sales,40, >50K
44, Self-emp-inc, Sales,45, >50K
35, Private, Sales,40, >50K
53, Federal-gov, Tech-support,40, <=50K
34, Private, Sales,40, >50K
40, Private, Sales,40, <=50K
25, Private, Sales,35, <=50K
62, Private, Tech-support,24, <=50K
26, Private, Sales,45, <=50K
40, Private, Sales,40, <=50K
22, Private, Sales,20, <=50K
49, Private, Sales,40, >50K
25, Private, Tech-support,40, >50K
23, Private, Sales,20, <=50K
23, Private, Sales,40, <=50K
42, Private, Sales,40, <=50K
31, Private, Sales,76, >50K
46, Private, Tech-support,38, <=50K
35, Private, Sales,40, >50K
57, Self-emp-inc, Tech-support,60, >50K
24, Private, Sales,24, <=50K
47, Private, Sales,60, >50K
27, Private, Sales,80, >50K
47, Private, Tech-support,40, >50K
24, Private, Sales,40, <=50K
43, Private, Sales,55, >50K
26, Private, Sales,40, <=50K
50, Self-emp-inc, Sales,40, >50K
22, Private, Sales,40, <=50K
45, Private, Sales,40, >50K
53, Self-emp-inc, Sales,60, >50K
40, Private, Sales,40, <=50K
51, Private, Tech-support,40, >50K
34, Private, Tech-support,40, <=50K
40, Private, Sales,80, <=50K
59, Private, Tech-support,40, >50K
48, Private, Sales,40, >50K
28, Private, Sales,45, >50K
29, Private, Sales,41, <=50K
27, Private, Tech-support,40, <=50K
22, Private, Sales,40, <=50K
39, Self-emp-inc, Sales,40, >50K
46, Private, Sales,40, <=50K
29, Private, Sales,50, <=50K
31, Private, Sales,40, >50K
24, Private, Sales,47, <=50K
35, Private, Sales,50, >50K
49, Private, Sales,35, <=50K
23, Private, Sales,40, <=50K
32, Private, Sales,40, >50K
60, Private, Sales,55, <=50K
34, Private, Sales,60, >50K
23, Private, Tech-support,40, <=50K
35, Private, Sales,40, >50K
42, Private, Tech-support,50, >50K
23, Private, Sales,25, <=50K
38, Private, Sales,40, >50K
18, Private, Sales,30, <=50K
20, Private, Sales,8, <=50K
46, Private, Sales,45, >50K
57, Private, Sales,40, <=50K
53, Self-emp-inc, Sales,50, >50K
59, Private, Sales,55, >50K
25, Federal-gov, Tech-support,45, <=50K
42, Private, Sales,40, <=50K
39, Private, Sales,50, >50K
39, Private, Sales,50, <=50K
31, Private, Sales,40, <=50K
57, Self-emp-inc, Sales,50, >50K
30, Private, Sales,45, <=50K
46, Private, Sales,50, <=50K
27, Private, Sales,40, <=50K
19, Private, Sales,25, <=50K
22, Private, Sales,20, <=50K
34, Private, Tech-support,40, >50K
46, Private, Sales,40, >50K
39, Private, Sales,35, <=50K
63, Private, Sales,20, <=50K
66, Private, Sales,40, <=50K
54, Private, Sales,50, >50K
25, Private, Sales,40, <=50K
20, Private, Sales,30, <=50K
39, Private, Sales,40, >50K
35, Private, Tech-support,40, >50K
51, Private, Sales,50, >50K
52, Private, Sales,50, <=50K
61, Private, Sales,50, <=50K
48, Private, Sales,8, <=50K
28, Private, Sales,45, <=50K
30, Private, Tech-support,40, <=50K
40, Private, Sales,45, >50K
24, Private, Tech-support,35, <=50K
35, Private, Tech-support,40, <=50K
31, Private, Sales,45, <=50K
21, Private, Sales,40, <=50K
35, Private, Sales,40, >50K
21, Private, Sales,40, <=50K
29, Private, Tech-support,52, <=50K
18, Private, Sales,20, <=50K
60, Private, Sales,15, <=50K
28, Private, Sales,55, >50K
51, Private, Sales,60, <=50K
28, Private, Sales,45, >50K
31, Private, Sales,40, <=50K
37, Self-emp-inc, Sales,50, >50K
49, Private, Tech-support,40, <=50K
69, Private, Sales,25, <=50K
35, Private, Sales,40, <=50K
42, Private, Sales,50, >50K
23, Private, Tech-support,45, <=50K
46, Private, Sales,42, <=50K
27, Private, Sales,40, <=50K
50, Private, Sales,50, <=50K
39, Private, Tech-support,50, >50K
43, Private, Sales,40, >50K
23, Private, Sales,9, <=50K
54, Private, Sales,68, >50K
40, Private, Sales,40, >50K
43, Private, Sales,40, >50K
77, Self-emp-inc, Sales,8, <=50K
25, Private, Sales,30, <=50K
41, Private, Sales,40, >50K
36, Private, Sales,40, >50K
49, Private, Sales,44, <=50K
32, Private, Sales,42, >50K
61, Self-emp-inc, Sales,35, >50K
19, Private, Sales,25, <=50K
43, Federal-gov, Tech-support,40, <=50K
54, Self-emp-inc, Sales,50, >50K
24, Private, Sales,30, <=50K
22, Private, Sales,40, <=50K
23, Private, Sales,40, <=50K
49, Private, Sales,50, >50K
28, Private, Sales,40, <=50K
49, Private, Sales,50, >50K
24, Private, Sales,15, <=50K
32, Private, Sales,50, <=50K
20, Private, Sales,30, <=50K
45, Private, Sales,45, <=50K
23, Private, Sales,10, <=50K
57, Private, Sales,55, >50K
25, Private, Tech-support,40, <=50K
50, Private, Sales,50, >50K
27, Private, Tech-support,40, <=50K
52, Private, Tech-support,45, <=50K
40, Private, Tech-support,40, <=50K
22, Private, Sales,30, <=50K
30, Private, Sales,40, <=50K
32, Private, Sales,50, <=50K
29, Private, Tech-support,40, <=50K
57, Private, Sales,55, >50K
24, Private, Sales,40, <=50K
39, Private, Sales,45, >50K
35, Private, Sales,40, <=50K
46, Private, Sales,40, >50K
32, Private, Sales,40, <=50K
41, Private, Sales,45, <=50K
64, Private, Sales,40, <=50K
40, Private, Tech-support,40, >50K
61, Private, Tech-support,25, <=50K
24, Private, Tech-support,40, <=50K
33, Private, Sales,44, <=50K
31, Private, Tech-support,40, <=50K
46, Private, Sales,40, <=50K
19, Private, Sales,40, <=50K
18, Private, Sales,25, <=50K
46, Self-emp-inc, Sales,60, >50K
22, Private, Sales,16, <=50K
26, Federal-gov, Tech-support,60, <=50K
53, Private, Tech-support,40, <=50K
25, Private, Sales,40, <=50K
49, Private, Tech-support,35, <=50K
22, Private, Tech-support,40, <=50K
47, Private, Sales,60, >50K
55, Self-emp-inc, Sales,50, <=50K
43, Private, Tech-support,40, >50K
25, Private, Tech-support,40, <=50K
34, Private, Sales,50, >50K
38, Private, Tech-support,40, >50K
22, Private, Sales,30, <=50K
56, Private, Tech-support,38, <=50K
21, Private, Sales,35, <=50K
56, Self-emp-inc, Sales,60, >50K
21, Private, Sales,20, <=50K
41, Private, Sales,50, >50K
19, Private, Sales,25, <=50K
41, Private, Tech-support,40, >50K
23, Private, Tech-support,40, <=50K
37, Private, Sales,60, <=50K
43, Self-emp-inc, Sales,45, >50K
30, Private, Sales,45, <=50K
23, Private, Sales,12, <=50K
26, Private, Sales,50, <=50K
40, Private, Tech-support,40, <=50K
35, Private, Sales,45, <=50K
19, Private, Sales,30, <=50K
29, Self-emp-inc, Sales,50, >50K
30, Private, Tech-support,45, <=50K
41, Private, Sales,32, <=50K
27, Private, Sales,35, <=50K
32, Private, Tech-support,38, <=50K
60, Private, Sales,46, >50K
22, Private, Sales,16, <=50K
30, Private, Sales,18, <=50K
27, Private, Sales,50, <=50K
66, Self-emp-inc, Sales,26, >50K
22, Private, Sales,30, <=50K
40, Private, Sales,50, >50K
29, Federal-gov, Tech-support,40, >50K
55, Private, Tech-support,50, >50K
34, Private, Sales,40, >50K
26, Private, Tech-support,50, <=50K
46, Private, Sales,40, <=50K
35, Private, Sales,40, <=50K
30, Private, Sales,40, <=50K
30, Private, Sales,50, >50K
34, Private, Sales,45, <=50K
45, Private, Tech-support,55, >50K
33, Private, Sales,45, >50K
22, Private, Sales,38, <=50K
38, Private, Sales,40, >50K
90, Private, Sales,20, <=50K
55, Private, Sales,50, <=50K
40, Private, Sales,50, >50K
22, Federal-gov, Sales,37, <=50K
24, Private, Sales,35, <=50K
34, Private, Tech-support,40, <=50K
39, Self-emp-inc, Sales,40, <=50K
33, Federal-gov, Tech-support,40, <=50K
50, Self-emp-inc, Sales,60, >50K
61, Private, Sales,48, >50K
44, Self-emp-inc, Sales,50, >50K
21, Private, Sales,40, <=50K
50, Private, Sales,40, <=50K
54, Private, Sales,40, >50K
30, Private, Sales,20, <=50K
21, Private, Sales,20, <=50K
26, Private, Sales,55, <=50K
29, Private, Sales,40, <=50K
44, Private, Tech-support,40, <=50K
31, Private, Sales,40, <=50K
58, Private, Sales,40, <=50K
35, Private, Sales,43, >50K
36, Private, Tech-support,42, >50K
30, Private, Sales,40, >50K
73, Federal-gov, Tech-support,40, <=50K
28, Private, Sales,50, <=50K
40, Private, Tech-support,55, >50K
27, Private, Tech-support,50, <=50K
20, Private, Sales,40, <=50K
29, Private, Tech-support,40, <=50K
23, Private, Sales,16, <=50K
44, Private, Sales,46, <=50K
23, Private, Sales,20, <=50K
38, Private, Tech-support,45, <=50K
36, Private, Sales,35, >50K
30, Private, Tech-support,45, >50K
59, Private, Sales,37, >50K
20, Private, Sales,13, <=50K
23, Private, Tech-support,40, <=50K
39, Private, Sales,40, >50K
45, Private, Tech-support,45, <=50K
18, Private, Sales,30, <=50K
24, Private, Sales,50, <=50K
68, Private, Sales,40, >50K
20, Federal-gov, Tech-support,40, <=50K
21, Private, Sales,40, <=50K
39, Private, Tech-support,40, <=50K
19, Private, Sales,25, <=50K
43, Private, Sales,50, >50K
47, Private, Sales,60, >50K
21, Private, Sales,20, <=50K
41, Private, Sales,40, <=50K
25, Private, Sales,40, >50K
58, Private, Tech-support,36, <=50K
28, Private, Tech-support,70, <=50K
26, Private, Sales,40, <=50K
42, Private, Sales,40, <=50K
30, Private, Sales,50, <=50K
66, Private, Sales,15, >50K
26, Private, Sales,40, <=50K
90, Private, Sales,37, <=50K
28, Private, Tech-support,54, <=50K
27, Self-emp-inc, Sales,40, <=50K
20, Private, Sales,30, <=50K
22, Private, Sales,40, <=50K
36, Private, Sales,45, <=50K
26, Private, Sales,48, >50K
26, Private, Sales,50, <=50K
23, Private, Tech-support,25, <=50K
32, Private, Sales,45, >50K
63, Private, Tech-support,40, >50K
22, Private, Sales,15, <=50K
34, Private, Tech-support,40, <=50K
61, Self-emp-inc, Sales,20, <=50K
33, Private, Sales,50, >50K
37, Private, Sales,50, <=50K
41, Private, Tech-support,45, >50K
20, Private, Sales,20, <=50K
21, Private, Sales,35, <=50K
20, Private, Sales,30, <=50K
30, Private, Sales,40, <=50K
47, Private, Sales,55, >50K
44, Private, Sales,35, <=50K
24, Private, Sales,40, <=50K
39, Private, Sales,40, <=50K
63, Private, Sales,48, >50K
22, Private, Sales,60, <=50K
31, Private, Sales,57, <=50K
37, Private, Sales,55, <=50K
38, Private, Sales,45, >50K
48, Private, Tech-support,40, >50K
24, Private, Tech-support,50, <=50K
26, Private, Sales,35, <=50K
26, Private, Sales,40, >50K
55, Self-emp-inc, Sales,60, >50K
34, Private, Sales,60, >50K
62, Private, Tech-support,7, <=50K
30, Private, Sales,50, >50K
30, Private, Tech-support,35, <=50K
26, Private, Sales,48, <=50K
44, Private, Tech-support,35, <=50K
38, Self-emp-inc, Sales,55, >50K
25, Self-emp-inc, Sales,35, <=50K
21, Private, Sales,20, <=50K
18, Private, Sales,28, <=50K
30, Private, Sales,40, <=50K
38, Private, Sales,60, <=50K
25, Private, Tech-support,16, <=50K
33, Private, Sales,50, >50K
20, Private, Sales,25, <=50K
35, Private, Sales,55, >50K
20, Private, Sales,30, <=50K
52, Self-emp-inc, Sales,50, >50K
53, Private, Sales,60, >50K
36, Private, Sales,60, >50K
27, Private, Tech-support,40, <=50K
22, Private, Sales,34, <=50K
33, Self-emp-inc, Sales,65, <=50K
21, Private, Sales,15, <=50K
22, Private, Sales,8, <=50K
65, Private, Sales,45, <=50K
43, Private, Sales,45, <=50K
34, Private, Sales,45, <=50K
32, Private, Tech-support,40, >50K
65, Private, Sales,28, <=50K
60, Private, Sales,40, >50K
33, Private, Sales,55, >50K
66, Private, Tech-support,40, >50K
58, Private, Sales,40, <=50K
59, Private, Tech-support,40, >50K
24, Private, Sales,40, <=50K
34, Private, Sales,65, >50K
43, Private, Tech-support,40, <=50K
43, Self-emp-inc, Sales,60, >50K
29, Private, Sales,40, >50K
22, Private, Sales,43, <=50K
46, Private, Tech-support,40, >50K
49, Self-emp-inc, Sales,50, >50K
44, Private, Sales,60, >50K
66, Private, Sales,50, >50K
36, Private, Sales,50, >50K
57, Private, Sales,48, <=50K
59, Private, Sales,45, >50K
20, Private, Sales,14, <=50K
41, Private, Tech-support,50, <=50K
21, Private, Sales,40, <=50K
26, Private, Sales,24, <=50K
35, Private, Sales,50, >50K
21, Private, Sales,12, <=50K
50, Private, Sales,40, <=50K
30, Private, Tech-support,72, <=50K
45, Private, Sales,60, >50K
27, Private, Sales,40, <=50K
37, Private, Sales,40, <=50K
55, Private, Tech-support,40, <=50K
40, Private, Tech-support,40, >50K
22, Private, Sales,24, <=50K
25, Private, Sales,40, <=50K
25, Private, Tech-support,50, <=50K
28, Private, Tech-support,40, <=50K
32, Federal-gov, Tech-support,40, <=50K
61, Private, Sales,40, <=50K
28, Private, Sales,40, <=50K
27, Private, Sales,40, <=50K
20, Private, Sales,40, <=50K
32, Private, Tech-support,40, <=50K
49, Private, Tech-support,40, <=50K
19, Private, Sales,38, <=50K
46, Private, Sales,40, <=50K
58, Private, Sales,40, >50K
38, Private, Sales,40, >50K
44, Private, Sales,44, >50K
52, Private, Sales,60, <=50K
19, Private, Sales,20, <=50K
60, Private, Sales,27, <=50K
68, Private, Sales,35, >50K
51, Self-emp-inc, Sales,40, >50K
28, Private, Tech-support,40, <=50K
33, Private, Tech-support,40, <=50K
37, Private, Sales,45, <=50K
21, Private, Tech-support,35, <=50K
20, Private, Sales,6, <=50K
47, Self-emp-inc, Sales,40, >50K
62, Self-emp-inc, Sales,35, <=50K
27, Private, Tech-support,40, >50K
79, Private, Sales,40, <=50K
28, Private, Sales,40, <=50K
30, Private, Tech-support,60, <=50K
50, Private, Sales,45, <=50K
26, Private, Sales,40, <=50K
44, Private, Sales,40, >50K
34, Private, Sales,25, <=50K
18, Private, Sales,10, <=50K
53, Self-emp-inc, Sales,65, >50K
42, Private, Tech-support,35, >50K
40, Private, Sales,45, <=50K
20, Private, Tech-support,10, <=50K
23, Federal-gov, Sales,35, <=50K
32, Private, Sales,60, >50K
31, Private, Tech-support,43, >50K
24, Private, Tech-support,40, <=50K
23, Private, Sales,35, <=50K
32, Private, Sales,45, <=50K
41, Private, Sales,65, >50K
23, Private, Sales,60, <=50K
19, Private, Sales,20, <=50K
25, Private, Sales,40, <=50K
21, Private, Sales,40, <=50K
45, Private, Sales,55, <=50K
34, Private, Sales,20, <=50K
36, Self-emp-inc, Sales,60, >50K
29, Private, Sales,55, <=50K
28, Private, Sales,45, >50K
27, Private, Tech-support,50, <=50K
33, Private, Sales,40, <=50K
19, Private, Sales,22, <=50K
42, Private, Tech-support,40, <=50K
27, Private, Sales,60, >50K
30, Private, Sales,40, >50K
66, Private, Sales,28, <=50K
25, Private, Sales,44, <=50K
66, Private, Sales,24, <=50K
43, Private, Sales,40, >50K
45, Private, Sales,40, <=50K
21, Private, Sales,55, <=50K
34, Self-emp-inc, Sales,50, >50K
70, Private, Sales,34, <=50K
42, Private, Tech-support,45, >50K
33, Private, Sales,50, <=50K
41, Private, Sales,50, <=50K
25, Private, Sales,48, <=50K
27, Private, Sales,35, <=50K
24, Private, Sales,35, <=50K
40, Private, Sales,50, <=50K
30, Private, Sales,30, <=50K
28, Private, Sales,40, <=50K
30, Private, Sales,40, >50K
25, Private, Sales,42, <=50K
30, Private, Sales,50, >50K
57, Private, Tech-support,40, >50K
22, Private, Sales,35, <=50K
27, Private, Sales,45, <=50K
50, Private, Tech-support,36, <=50K
36, Private, Tech-support,40, <=50K
19, Private, Sales,25, <=50K
31, Private, Sales,40, <=50K
53, Private, Sales,30, <=50K
52, Private, Sales,40, <=50K
31, Private, Sales,40, >50K
29, Private, Sales,40, <=50K
40, Federal-gov, Tech-support,40, <=50K
34, Private, Sales,45, >50K
82, Self-emp-inc, Sales,20, <=50K
26, Private, Sales,35, <=50K
39, Private, Sales,40, <=50K
27, Private, Tech-support,15, <=50K
21, Private, Sales,24, <=50K
48, Self-emp-inc, Sales,40, >50K
41, Private, Tech-support,38, <=50K
23, Private, Sales,40, <=50K
51, Private, Tech-support,40, <=50K
26, Private, Sales,40, <=50K
36, Self-emp-inc, Sales,60, <=50K
32, Private, Sales,40, <=50K
22, Private, Sales,30, <=50K
32, Self-emp-inc, Sales,55, >50K
24, Private, Sales,65, <=50K
24, Private, Sales,40, <=50K
21, Private, Sales,40, <=50K
61, Private, Sales,40, >50K
40, Private, Sales,45, >50K
26, Private, Sales,50, <=50K
34, Private, Sales,40, >50K
26, Private, Sales,40, <=50K
28, Private, Sales,40, >50K
29, Private, Sales,40, <=50K
40, Private, Sales,53, <=50K
44, Private, Sales,50, >50K
19, Private, Sales,20, <=50K
53, Private, Sales,25, <=50K
22, Private, Sales,20, <=50K
56, Private, Sales,45, >50K
42, Private, Sales,50, >50K
19, Private, Tech-support,30, <=50K
19, Private, Sales,20, <=50K
64, Private, Tech-support,35, <=50K
25, Private, Tech-support,40, <=50K
37, Private, Tech-support,40, <=50K
46, Private, Sales,40, <=50K
27, Private, Sales,40, <=50K
24, Private, Sales,30, <=50K
42, Private, Sales,40, >50K
49, Private, Sales,60, >50K
53, Private, Tech-support,40, <=50K
36, Private, Sales,40, <=50K
34, Private, Tech-support,40, >50K
45, Private, Tech-support,50, >50K
53, Private, Sales,30, <=50K
23, Private, Sales,40, <=50K
40, Private, Sales,40, >50K
27, Private, Sales,45, <=50K
19, Private, Sales,25, <=50K
28, Private, Tech-support,24, <=50K
59, Private, Tech-support,50, >50K
30, Private, Sales,60, >50K
23, Private, Tech-support,60, <=50K
21, Private, Sales,35, <=50K
72, Private, Sales,30, <=50K
19, Private, Sales,15, <=50K
63, Private, Sales,40, >50K
50, Private, Sales,40, >50K
45, Private, Sales,60, >50K
45, Private, Sales,40, >50K
23, Private, Sales,36, <=50K
21, Private, Sales,25, <=50K
23, Private, Sales,40, <=50K
36, Self-emp-inc, Sales,60, >50K
30, Private, Sales,65, <=50K
22, Private, Sales,35, <=50K
24, Private, Sales,40, <=50K
48, Private, Sales,50, >50K
41, Private, Tech-support,40, <=50K
25, Private, Sales,43, <=50K
29, Private, Tech-support,35, >50K
29, Private, Sales,25, <=50K
56, Private, Sales,40, >50K
20, Private, Sales,25, <=50K
51, Federal-gov, Sales,50, >50K
21, Private, Sales,20, <=50K
54, Private, Sales,32, <=50K
40, Private, Sales,40, <=50K
45, Private, Sales,99, >50K
48, Private, Sales,45, <=50K
56, Private, Sales,50, >50K
24, Private, Tech-support,40, <=50K
43, Self-emp-inc, Sales,40, >50K
32, Private, Sales,50, >50K
25, Private, Tech-support,15, <=50K
34, Private, Sales,50, >50K
34, Private, Sales,40, <=50K
60, Private, Sales,40, >50K
51, Private, Sales,40, >50K
20, Private, Tech-support,20, <=50K
46, Private, Tech-support,40, <=50K
25, Private, Tech-support,40, <=50K
25, Private, Sales,40, <=50K
50, Private, Sales,40, >50K
42, Private, Sales,40, <=50K
61, Private, Sales,45, >50K
46, Private, Sales,40, >50K
26, Private, Sales,55, <=50K
19, Private, Sales,18, <=50K
29, Private, Sales,40, <=50K
46, Private, Sales,35, >50K
21, Private, Sales,60, <=50K
24, Private, Sales,40, <=50K
42, Private, Sales,40, >50K
51, Private, Sales,45, >50K
36, Private, Sales,40, >50K
35, Private, Sales,55, <=50K
28, Private, Sales,40, <=50K
20, Private, Sales,35, <=50K
47, Private, Sales,65, >50K
41, Private, Sales,40, <=50K
21, Private, Sales,20, <=50K
46, Private, Sales,50, >50K
50, Private, Tech-support,40, >50K
32, Private, Tech-support,50, <=50K
50, Private, Sales,40, >50K
59, Self-emp-inc, Sales,40, <=50K
42, Private, Tech-support,45, >50K
32, Private, Sales,50, >50K
44, Private, Sales,48, <=50K
43, Private, Sales,40, >50K
72, Federal-gov, Tech-support,16, <=50K
25, Self-emp-inc, Sales,50, <=50K
24, Private, Sales,17, <=50K
73, Self-emp-inc, Sales,50, >50K
54, Private, Sales,40, >50K
60, Federal-gov, Tech-support,40, <=50K
35, Private, Sales,45, >50K
42, Private, Sales,50, >50K
30, Private, Sales,45, <=50K
21, Private, Sales,20, <=50K
24, Private, Tech-support,55, <=50K
31, Private, Tech-support,42, <=50K
68, Private, Sales,55, >50K
30, Private, Sales,40, <=50K
50, Private, Sales,45, >50K
39, Private, Sales,60, >50K
46, Private, Sales,55, >50K
43, Self-emp-inc, Sales,55, <=50K
81, Private, Sales,50, >50K
26, Private, Tech-support,35, <=50K
20, Private, Tech-support,15, <=50K
33, Private, Sales,40, <=50K
52, Private, Sales,45, >50K
54, Private, Sales,55, >50K
20, Private, Sales,20, <=50K
42, Private, Tech-support,40, >50K
27, Private, Sales,50, <=50K
19, Private, Sales,20, <=50K
31, Private, Sales,40, <=50K
23, Private, Sales,40, <=50K
34, Private, Sales,40, <=50K
54, Private, Sales,40, <=50K
37, Private, Tech-support,40, <=50K
29, Private, Tech-support,40, <=50K
22, Private, Tech-support,40, <=50K
46, Self-emp-inc, Sales,60, >50K
44, Private, Sales,40, >50K
28, Private, Sales,40, <=50K
